adventurous	daring/courageous/fearless/exploratory/venturesome/experimental/risktaker/bold/wild/spontaneous
afraid	terrified/horrified/scared/stiff/petrified/fearful/panicky
amazed	astonished/startled/shocked/surprised/stunned/baffled/dumbfounded/aghast/astounded/flabbergasted/overwhelmed/awestruck/agape/bewildered/open_mouthed
ambitious	driven/motivated/determined/goal_oriented/aspiring/enterprising/persistent/tenacious/forward_thinking/self_starting
angry	furious/enraged/outraged/aggrivated/irate/seething
anxious	nervous/worried/uneasy/restless/jittery/concerned/tense/edgy/fretful/anticipatory/fidgety/rattled
ask	beg/implore/pray/entreat/supplicate/insist
bad	awful/atrocious/abominable/dreadful/painful/terrible/unspeakable
beautiful	gorgeous/stunning/ravishing/elegant/alluring/mesmerizing/attractive/picturesque/exquisite/enchanting
bored	apathetic/indifferent/monotonous/uninterested/disinterested/blase/listless/dull/unengaged/underwhelmed/spiritless
boring	tedious/deadening/dull/ho-hum/irksome/tiresome/wearisome
caring	compassionate/empathetic/considerate/kindhearted/tender/sympathetic/giving/attentive/affectionate/nurturing
cat	lion/tiger/leopard/panther/jaguar
charming	appealing/engaging/attractive/delightful/charismatic/alluring/pleasing/lovely/enchanting
cheerful	happy/joyful/joyous/elated/ecstatic/overjoyed/gleeful/gleaming/radiant/exuberant/enthusiastic
chuckle	laugh/guffaw/chortle/guffaw/snicker/snigger/titter/roar
compassionate	empathetic/sympathetic/understanding/kind_hearted/tenderhearted/generous/caring/considerate/sensitive
confused	lost/bewildered/trapped/desperate
content	satisfied/pleased/fulfilled/gratified/happy/serene/tranquil/comfortable/at_peace
creative	ingenious/inventive/demiurgic/deviceful/innovational/innovative/innovatory/original/originative
cry	scream/shriek/screech/screeching
curious	curious/inquisitive/interested/eager/wondering/inquiring/probing/intrigued/searching
damp	drenched/dripping/saturated/soaked/soaking/sodden/sopping/soppy/soused/wringing-wet
delightful	joyful/pleasant/engaging/entertaining/pleasurable/wonderful/fun/lovely
determined	resolute/strong_willed/focused/tenacious/persistent/committed/unyielding/stubborn/unwavering
dinner	feast/banquet/fiesta
disappointed	dismayed/upset/disheartened/saddened/dejected/downhearted/dismal/melancholy/disillusioned/embittered/fed_up/downcast
dislike	hate/abhor/detest/loathe/abominate/execrate/contemn/despise/scorn/disdain
doze	sleep/slumber
drizzle	rain/shower/raifall/deluge
eager	enthusiastic/keen/ready/anticipating/anxious/excited/zealous/avid/fervent/desiring/willing/longing/wishing/spirited/passionate
empathetic	compassionate/sympathetic/understanding/kindhearted/considerate/caring/attentive/affectionate/tender/sensitive
energetic	lively/vibrant/active/animated/spirited/vigorous/dynamic/peppery/enthusiastic/alert
enthusiastic	keen/ready/anticipating/anxious/excited/zealous/avid/fervent/desiring/willing/eager/passionate/spirited
excited	agitated/nervous
exhausted	tired/drained/fatigued/beaten/beat/worn_out/wiped_out/knackered/spent/run_down/shattered/wearied
faith	fanatism/fanaticism/zealotry
focused	concentrated/attentive/dedicated/committed/engaged/immersed/goal_oriented/determined/purposeful
frightened	scared/terrified/horrified/petrified/afraid/alarms/fearful/spooked/shaken/aghast
frustrated	irritated/annoyed/exasperated/angry/disappointed/discontented/agitated/disheartened/displeased/furious/incensed/inflamed/maddened/piqued/provoked/tormented/upset
furious	angry/enraged/incensed/fuming/irate/livid/furious/infuriated/outaged/raging/seething
generous	kindhearted/big_hearted/philanthropic/giving/selfless/benevolent/magnanimous/open_handed/kind/altruistic/humane/humanitarian/great_hearted
giggle	laugh/guffaw/chortle/guffaw/snicker/snigger/titter/roar
grateful	appreciative/obliged/indebted/recognizing/acknowledging/pleased/glad/gratified   
guilty	remorseful/sorrowful/unworthy
happy	ecstatic/enraptured/rapturous/rapt/rhapsodic
hopeful	optimistic/encouraged/positive/expectant/promising/anticipatory/confident/assured/bright
house	palace/castle
humorous	funny/amusing/comical/witty/entertaining/joyful/playful/hilarious/jacose/droll/tongue_in_cheek
hungry	starving/famished/peckish/ravenous/starved
indulge	pamper/spoil/coddle
inspiring	motivating/uplifting/encouraging/empowering/stirring/heartening/visionary/aspirational/influential
interesting	exciting/exhilarant/exhilarating/exhilarative/eye-popping/inspiring/intoxicating/rousing/stimulating/stirring/arresting/interesting/intriguing/moving/provocative/heady/thrilling
irritate	enrage/incense/infuriate/ire/mad/madden/steam/umbrage
irritated	annoyed/frustrated/angry/exasperated/infuriated/maddened/peeved/irked/vexed
jog	run/scarper/flee/fly
