admire	admired
admit	admitted
advise	advised
answer	answered
apologize	apologized
arrive	arrived
attack	attacked
avoid	avoided
bake	baked
blame	blamed
bother	bothered
brush	brushed
call	called
carry	carried
clean	cleaned
climb	climbed
close	closed
compare	compared
complain	complained
confuse	confused
connect	connected
count	counted
crash	crashed
dance	danced
deliver	delivered
deny	denied
design	designed
disagree	disagreed
disappear	disappeared
discuss	discussed
divide	divided
drop	dropped
end	ended
enjoy	enjoyed
escape	escaped
explain	explained
file	filed
fill	filled
fish	fished
fix	fixed
gather	gathered
greet	greeted
guess	guessed
handle	handled
happen	happened
help	helped
hope	hoped
imagine	imagined
invite	invited
join	joined
jump	jumped
kick	kicked
kill	killed
laugh	laughed
like	liked
listen	listened
live	lived
look	looked
love	loved
mark	marked
need	needed
notice	noticed
obey	obeyed
open	opened
pack	packed
paint	painted
pass	passed
plan	planned
play	played
prefer	preferred
prepare	prepared
pull	pulled
push	pushed
rain	rained
reach	reached
refuse	refused
repair	repaired
rest	rested
return	returned
risk	risked
save	saved
search	searched
share	shared
shout	shouted
smile	smiled
start	started
stay	stayed
stop	stopped
study	studied
talk	talked
thank	thanked
touch	touched
travel	traveled
try	tried
turn	turned
type	typed
use	used
wait	waited
walk	walked
want	wanted
watch	watched
work	worked
worry	worried
