achieve	achiever
advertise	advertiser
announce	announcer
bake	baker
begin	beginner
believe	believer
blunder	blunderer
boil	boiler
borrow	borrower
bother	botherer
bowl	bowler
brush	brusher
capture	capturer
charge	charger
cheer	cheerer
choreograph	choreographer
claim	claimer
climb	climber
clutter	clutterer
coach	coacher
color	colorer
compose	composer
consume	consumer
contend	contender
cough	cougher
cover	coverer
dance	dancer
defend	defender
deliver	deliverer
destroy	destroyer
determine	determiner
develop	developer
discover	discoverer
doubt	doubter
drag	dragger
dream	dreamer
dress	dresser
drink	drinker
drive	driver
eat	eater
endure	endurer
enter	enterer
entertain	entertainer
examine	examiner
explore	explorer
fear	fearer
filter	filterer
fix	fixer
flatter	flatterer
flutter	flutterer
follow	follower
foster	fosterer
gather	gatherer
glitter	glitterer
glower	glowerer
govern	governer
hammer	hammerer
hang	hanger
happen	happener
head	header
help	helper
hover	hoverer
ignore	ignorer
improve	improver
interpret	interpreter
intrude	intruder
jog	jogger
join	joiner
jump	jumper
kick	kicker
kiss	kisser
laugh	laugher
lead	leader
learn	learner
lick	licker
listen	listener
look	looker
lose	loser
lower	lowerer
manage	manager
molest	molester
mourn	mourner
murder	murderer
mutter	mutterer
number	numberer
observe	observer
offend	offender
offer	offerer
order	orderer
organise	organiser
organize	organizer
paint	painter
pass	passer
perform	performer
pick	picker
play	player
preach	preacher
promote	promoter
provide	provider
publish	publisher
pull	puller
push	pusher
quit	quitter
race	racer
raise	raiser
reach	reacher
read	reader
receive	receiver
recommend	recommender
roll	roller
run	runner
sail	sailer
save	saver
scan	scanner
scream	screamer
seek	seeker
sell	seller
send	sender
serve	server
shame	shamer
shiver	shiverer
shoot	shooter
skydive	skydiver
slay	slayer
speak	speaker
subscribe	subscriber
suffer	sufferer
teach	teacher
tell	teller
write	writer
