abolish	abolishment
abrade	abradement
abridge	abridgement
accomplish	accomplishment
achieve	achievement
acknowledge	acknowledgement
acquire	acquirement
adjust	adjustment
advertise	advertisement/advertizement
advise	advisement
agree	agreement
align	alignment
allot 	allotment
amend	amendment
amuse	amusement
announce	announcement
appease	appeasement
appoint	appointment
argue	argument
arrange	arrangement
arrest	arrestment
assess	assessment
assign	assignment
assort	assortment
attain	attainment
baffle	bafflement
bereave	bereavement
better	betterment
bewilder	bewilderment
blandish	blandishment
bombard	bombardment
cease	ceasement
commit	commitment
conceal	concealment
confound	confoundment
congeal	congealment
correspond	correspondment
curtail	curtailment
defer	deferment
denounce	denouncement
deploy	deployment
derail	derailment
detach	detachment
develop	development
disagree	disagreement
disappoint	disappointment
disarm	disarmament
discern	discernment
disguise	disguisement
dishearten	disheartenment
displace	displacement
disturb	disturbment
embarrass	embarrassment
embellish	embellishment
embolden	emboldenment
encourage	encouragement
encroach	encroachment
endear	endearment
endorse	endorsement
endow	endowment
enforce	enforcement
engage	engagement
enhance	enhancement
enjoy	enjoyment
enlighten	enlightenment
enlist	enlistment
enrage	enragement
enroll	enrollment/enrolment
entail	entailment
entangle	entanglement
entertain	entertainment
enthrall	enthrallment
entitle	entitlement
entrap	entrapment
envision	envisagement
equip	equipment
escarp	escarpment
establish	establishment
excite	excitement
flourish	flourishment
forsake	forsakement
fulfil	fulfilment
fulfill	fulfillment
harass	harassment
impair	impairment
impede	impediment
imprison	imprisonment
improve	improvement
incite	incitement
infringe	infringement
inter	interment
invest	investment
involve	involvement
jugde	judgment
manage	management
meddle	meddlement
perish	perishment
postpone	postponement
punish	punishment
redevelop	redevelopment
refine	refinement
refresh	refreshment
reimburse	reimbursement
reinforce	reinforcement
reinstate	reinstatement
relinquish	relinquishment
replace	replacement
require	requirement
resent	resentment
seduce	seducement
uplift	upliftment
