aid	assistance/help/support
airplane	aeroplane/plane
antagonist	enemy/opponent/rival
apparel	clothing/garments/attire
auto	car/automobile/motorcar
baby	infant/babe
bazaar	market/fair/souk
bicycle	bike/wheel/cycle
bike	bicycle/cycle
blossom	flower/bloom
boy	child/lad/youngster
brave	courageous/heroic/fearless
bucks	dollars/money/cash
car	vehicle/automobile
cautious	wary/prudent/careful
child	kid/youngster/minor/shaver/nipper/small_fry/tiddler/tike/tyke/fry/nestling
cloth	fabric/material/textile
clothes	clothing/apparel/dress
coast	shore/beach/shoreline
confused	baffled/befuddled/bemused/bewildered/confounded/lost/mazed/mixed-up
couch	sofa/settee/set
dad	father/papa/parent
dollars	bucks
emphasis	accent/accentuaion/importance/stress/significance
erroneous	incorrect/false/mistaken
fabric	cloth/textile
faithful	loyal/devoted/steadfast/devoted
fashion	style/trend/attire
father	dad/daddy
flower	blossom/bloom
focus	attention/concentration
gem	jewel/precious_stone/stone
harbor	seaport/haven/harbour
hazardous	dangerous/perilous/risky
help	aid/assist
hieroglyph	hieroglyphic/pictogram
homicide	murder/killing/execution
homogeneous	uniform/unvarying
honest	sincere/ingenuous/true/direct/truthful
identical	same/indistinguishable
idle	inactive/lazy/unused
incorrect	wrong/counterfactual/erroneous/inaccurate/specious/unsound/untrue/false
infant	baby/newborn
intelligent	clever/smart
inventory	stock/assortment/collection
jewel	gem/stone
kid	child/youngster/minor/shaver/nipper/small_fry/tiddler/tike/tyke/fry/nestling
lad	chap/fellow/feller/fella/gent/blighter/cuss/bloke
lady	madam/dame/ma'am/gentlewoman/madame/woman
lazy	indolent/faineant/otiose/slothful/work-shy
lexicon 	vocabulary/dictionary/glossary
list	listing/enumeration
logical	rational/reasonable/sane
loyal	faithful/true/dependable/devoted/reliable
mad	angry/furious/livid
market	marketplace/mart/bazaar
memorial	monument/tribute/commemoration
mend	repair/fix/fixing/fixture/mending/reparation/patch/darn/darning
mesh	gauze/netting/veiling/hairnet/reseau/net/save-all/snood/sparker/tulle/wirework/grillwork
mobile	phone/cellphone/smartphone
mom	mother/momma/mum
monument	memorial
mother	mom/mommy/mum
murder	slaying/slay/execution
net	network/web/mesh
new	modern/recent
obsolete	outdated/out-of-date/superannuated
organized	arranged/configured/corporate/incorporated/re-formed/reorganized/reorganised
outdated	obsolete/old_fashioned/antiquated/ancient/prehistoric
package	parcel/pack/packet/bundle
parcel	package/box/consignment
partner	ally/companion/colleague/spouse/mate/better_half
perplexed	confused/bewildered/puzzled
phone	telephone/cell/cellphone/smartphone
pictograph	symbol/illustration/drawing
port	harbor/dock/terminal
portion	part/component_part/component/constituent
quick 	fast/rapid/speedy/swift
railroad	railway/track/line/railway_track
railway	railroad
rational	logical/coherent/reasonable/sane
reasonable	sensible
recent	new/modern/current
repair	fix/mend/restore
rock	stone
same	identical/unchanged/equal
segment	part/portion/section
sensible 	practical/wise/commonsensible/realistic
serpent	snake/boa
shore	coast/strand/bank/beach/
smart	intelligent/clever/bright
snake	serpent/ophidian
sofa	couch/lounge
spouse	partner/mate/better_half
stone	rock/pebble
structured	organized/planned/systematic
style	manner/mode/fashion/way
sweets	confectionery/dessert/confection
treats	sweets/delights/confections
truthful	honest/genuine/forthright
uniform	identical/standardized/consistent
villain	scoundrel/rascal
vocabulary	lexicon/wordbook/dictionary/glossary
woman	female/lady
