ability	abilities
academy	academies
activity	activities
agency	agencies
alga	algae
alumnus	alumni
analysis	analyses
appendix	appendices
aquarium	aquaria
army	armies
axis	axes
bacterium	bacteria
basis	bases
barracks	barracks
belief	beliefs
business	businesses
calf	calves
category	categories
century	centuries
chief	chiefs
child	children
city	cities
community	communities
corpus	corpora
country	countries
county	counties
crisis	crises
curriculum	curricula
datum	data
deer	deer
diagnosis	diagnoses
duty	duties
dwarf 	dwarfs/dwarves
economy	economies
elf	elves
energy	energies
entry	entries
facility	facilities
family	families
fish	fish
foot	feet
formula	formulae
fungus	fungi
goose	geese
half	halves
hero	heroes
history	histories
hoof	hooves
index	indices
industry	industries
knife	knives
leaf	leaves
library	libraries
life	lives
loaf	loaves
loss	losses
louse	lice
majority	majorities
man	men
medium	media
memory	memories
moose	moose
mouse	mice
nucleus	nuclei
oasis	oases
offspring	offspring
opportunity	opportunities
ox	oxen
parenthesis	parentheses
person	people
phenomenon	phenomena
policy	policies
potato	potatoes
property	properties
quiz	quizzes
radius	radii
reef	reefs
responsibility	responsibilities
rally	rallies
safety	safeties
scarf	scarfs/scarves
secretary	secretaries
security	securities
self	selves
series	series
shelf	shelves
society	societies
species	species
stimulus	stimuli
story	stories
strategy	strategies
success	successes
syllabus	syllabi
technology	technologies
theory	theories
tomato	tomatoes
tornado	tornadoes
tooth	teeth
university	universities
variety	varieties
wife	wives
woman	women
